case,mesh_type,nodes,elements,dof,max_disp_mm,force_balance_error,rx_left_N,ry_left_N,rx_right_N,ry_right_N,solve_time_s
Qa,coarse_uniform,125,96,250,0.010173810294125594,1.0956568985420745e-13,101.20370306671815,49.999999999993584,-101.20370306671808,49.99999999999546,0.013478292006766424
Qb,locally_refined,1365,1280,2730,0.012149477500275464,5.681499715137761e-13,85.41677752094336,49.99999999997637,-85.41677752091316,49.99999999996682,0.12502458300150465
