node_id,x_mm,y_mm,ux_mm,uy_mm,u_mag_mm
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.0007027611836043615,-0.0001522967964289248,0.0007190741237059755
2,2.0,0.0,-0.0009396478217874423,-0.0003877167568405845,0.001016495111904069
3,3.0,0.0,-0.0010855548889601417,-0.0006288744230222263,0.0012545566774270517
4,4.0,0.0,-0.0011920783965933904,-0.0008701741013111944,0.0014758908734108403
5,5.0,0.0,-0.0012748977073028388,-0.0011138912728139918,0.0016929612906789126
6,6.0,0.0,-0.0013426911308407922,-0.0013586284991161238,0.001910154672127118
7,7.0,0.0,-0.0013998650631641722,-0.001604416591845919,0.0021292662574835743
8,8.0,0.0,-0.001449100313030253,-0.0018510747806866489,0.0023508231666627974
9,9.0,0.0,-0.0014920726698406438,-0.0020985001432508163,0.0025748754733596504
10,10.0,0.0,-0.001529894644426099,-0.0023465504254122195,0.002801227681222276
11,11.0,0.0,-0.001563315888050687,-0.0025950622580759217,0.0030295717006074982
12,12.0,0.0,-0.0015930227230088433,-0.0028435087001344324,0.0032593347670594867
13,15.0,0.0,-0.0016626733288951311,-0.0035908007223946093,0.00395706108451321
14,20.0,0.0,-0.0017258146462465112,-0.004831522057001837,0.005130501104228926
15,25.0,0.0,-0.001728823774396693,-0.00604692470157686,0.006289207421405311
16,30.0,0.0,-0.0016724365578363663,-0.007212570674542228,0.007403932723576983
17,35.0,0.0,-0.0015556791373641894,-0.00829973079777313,0.008444268404896541
18,40.0,0.0,-0.0013771608741880745,-0.009277616175562057,0.009379271505529904
19,45.0,0.0,-0.0011389411040015579,-0.010117298876629106,0.01018120441781938
20,48.0,0.0,-0.0009573363690391704,-0.010539034024650326,0.010582425577164356
21,49.0,0.0,-0.0008889706548694678,-0.010663035310508488,0.010700027610168578
22,50.0,0.0,-0.0008189683013512813,-0.01077831750570337,0.010809386538206964
23,51.0,0.0,-0.0007464486904461074,-0.010884478992521096,0.010910044389740208
24,52.0,0.0,-0.0006713442165921619,-0.010981037992892592,0.011001540731120451
25,53.0,0.0,-0.0005937322449676385,-0.011067522873213637,0.011083437216307104
26,54.0,0.0,-0.0005137668220933641,-0.011143492412104975,0.01115532964488836
27,55.0,0.0,-0.0004316659691541711,-0.011208537055834229,0.011216846189590676
28,56.0,0.0,-0.0003477005714614704,-0.011262292170829375,0.011267658169669474
29,57.0,0.0,-0.00026218581208737636,-0.011304445902928091,0.0113074859527787
30,58.0,0.0,-0.0001754732674655189,-0.01133474556381263,0.01133610373382165
31,59.0,0.0,-8.794382137474236e-05,-0.011353003303233687,0.011353343917936822
32,60.0,0.0,-2.892651396191326e-16,-0.01135910245041368,0.01135910245041368
33,61.0,0.0,8.794382137417272e-05,-0.011353003303233683,0.011353343917936813
34,62.0,0.0,0.00017547326746495556,-0.011334745563812573,0.011336103733821584
35,63.0,0.0,0.00026218581208681973,-0.011304445902928022,0.011307485952778619
36,64.0,0.0,0.00034770057146091835,-0.011262292170829228,0.011267658169669311
37,65.0,0.0,0.0004316659691536032,-0.011208537055834024,0.01121684618959045
38,66.0,0.0,0.000513766822092776,-0.011143492412104722,0.01115532964488808
39,67.0,0.0,0.000593732244967019,-0.011067522873213373,0.011083437216306806
40,68.0,0.0,0.0006713442165915217,-0.010981037992892347,0.011001540731120167
41,69.0,0.0,0.0007464486904454665,-0.010884478992520855,0.010910044389739923
42,70.0,0.0,0.0008189683013506494,-0.010778317505703154,0.0108093865382067
43,71.0,0.0,0.0008889706548688499,-0.010663035310508232,0.010700027610168271
44,72.0,0.0,0.0009573363690385634,-0.010539034024650047,0.010582425577164023
45,75.0,0.0,0.0011389411040009685,-0.010117298876628694,0.010181204417818904
46,80.0,0.0,0.0013771608741873476,-0.009277616175561401,0.009379271505529148
47,85.0,0.0,0.0015556791373633279,-0.008299730797772669,0.00844426840489593
48,90.0,0.0,0.0016724365578354439,-0.007212570674541926,0.007403932723576481
49,95.0,0.0,0.001728823774395827,-0.006046924701576938,0.006289207421405146
50,100.0,0.0,0.0017258146462457713,-0.004831522057001998,0.0051305011042288295
51,105.0,0.0,0.0016626733288944246,-0.0035908007223947034,0.003957061084512999
52,108.0,0.0,0.0015930227230081546,-0.002843508700134587,0.003259334767059285
53,109.0,0.0,0.001563315888050019,-0.0025950622580760857,0.003029571700607294
54,110.0,0.0,0.0015298946444254461,-0.0023465504254123887,0.002801227681222061
55,111.0,0.0,0.0014920726698400078,-0.002098500143250996,0.002574875473359428
56,112.0,0.0,0.0014491003130296376,-0.0018510747806868382,0.002350823166662567
57,113.0,0.0,0.0013998650631635795,-0.0016044165918461173,0.002129266257483334
58,114.0,0.0,0.0013426911308402282,-0.0013586284991163264,0.0019101546721268653
59,115.0,0.0,0.001274897707302306,-0.0011138912728141887,0.0016929612906786409
60,116.0,0.0,0.0011920783965928942,-0.0008701741013113902,0.0014758908734105551
61,117.0,0.0,0.0010855548889596935,-0.0006288744230224176,0.0012545566774267599
62,118.0,0.0,0.0009396478217870602,-0.00038771675684076364,0.0010164951119037843
63,119.0,0.0,0.000702761183604088,-0.00015229679642907908,0.0007190741237057408
64,120.0,0.0,0.0,0.0,0.0
65,0.0,0.5,-0.0005443132726829546,-9.089472193761987e-05,0.0005518503323320063
66,1.0,0.5,-0.0006281271864839405,-9.796643181294857e-05,0.0006357209955337263
67,2.0,0.5,-0.0008407699181807275,-0.0003673581201880276,0.0009175216857304837
68,3.0,0.5,-0.0009757829500295465,-0.0006107801592738519,0.0011511753856519676
