element_id,cx_mm,cy_mm,sigma_x_MPa,sigma_y_MPa,tau_xy_MPa,von_mises_MPa
0,61.333333333333336,0.6666666666666666,-0.012545532315083593,-0.005025654470945768,0.012572832073210772,0.02299977402757079
1,60.666666666666664,1.3333333333333333,-0.004861855910173098,-0.012572832071609485,0.012545532312361416,0.0229983530241641
2,63.333333333333336,0.6666666666666666,-0.03293499906484095,-0.009231169873054227,0.016691035068175163,0.03644578200316429
3,62.666666666666664,1.3333333333333333,0.0012983815577170498,0.0009074514745402225,0.00781663467414467,0.013550224374866257
4,65.33333333333333,0.6666666666666666,-0.04305449798827844,-0.016848088912143535,0.012246798394630267,0.033295148549750526
5,64.66666666666667,1.3333333333333333,0.020513679257024336,0.013675406550602327,-0.006571536146979465,0.014538998787164494
6,67.33333333333333,0.6666666666666666,-0.03175885011129044,-0.024563327169704666,0.0038220735669340753,0.014475631523433013
7,66.66666666666667,1.3333333333333333,0.055227608203792446,0.025272813741601136,-0.02354244627834367,0.05094036053166138
8,69.33333333333333,0.6666666666666666,0.004627083561495965,-0.03121677232958974,-0.006513211796502003,0.03345344151989944
9,68.66666666666667,1.3333333333333333,0.10698567588107079,0.03489861254130729,-0.04020800723459638,0.09773794613705751
10,71.33333333333333,0.6666666666666666,0.06663219382198005,-0.036456534547772375,-0.017738847696825176,0.09460912961764445
11,70.66666666666667,1.3333333333333333,0.1764985048744748,0.04244240823311548,-0.055491898463501714,0.156951378164017
12,73.33333333333333,0.6666666666666666,0.15346989836173977,-0.040255989905317674,-0.029354215453550967,0.1767625392894234
13,72.66666666666667,1.3333333333333333,0.2638652131465601,0.04807190230561906,-0.06909885685270238,0.23052377614399572
14,75.33333333333333,0.6666666666666666,0.26388380968032804,-0.04270820417526244,-0.041128115416229245,0.2784426490175549
15,74.66666666666667,1.3333333333333333,0.36880361783131044,0.05202988986735546,-0.08105969585494929,0.31946087799683
16,77.33333333333333,0.6666666666666666,0.3965401983811092,-0.043937168599079424,-0.05297293771710211,0.39863113949106943
17,76.66666666666667,1.3333333333333333,0.49082668119278344,0.054553026472932725,-0.09152827329383939,0.42400573322746304
18,79.33333333333333,0.6666666666666666,0.5502058509132545,-0.04406088109237383,-0.06488010189867119,0.5364143022539872
19,78.66666666666667,1.3333333333333333,0.6293637016071999,0.05584433278353085,-0.10069271481264122,0.5439584729339997
20,81.33333333333333,0.6666666666666666,0.7238249735861486,-0.043177415578166956,-0.07688705893466896,0.6910033300654818
21,80.66666666666667,1.3333333333333333,0.7838395290972358,0.05606783812933247,-0.10873902077838629,0.6789175391541278
22,83.33333333333333,0.6666666666666666,0.9165505843827375,-0.04136079699760348,-0.08906108975464101,0.86175958400013
23,82.66666666666667,1.3333333333333333,0.9537256515267525,0.055351446396377624,-0.11583855186224026,0.8284276270184777
24,85.33333333333333,0.6666666666666666,1.127757815510416,-0.03866060052910103,-0.10149237444089927,1.0482110268992877
25,84.66666666666667,1.3333333333333333,1.1385739679720757,0.05379208168354155,-0.12214614137575973,0.9920646738134553
