case,element_type,max_disp_mm,max_von_mises_MPa,max_von_mises_global_MPa,max_von_mises_excluding_anchor_MPa,max_von_mises_near_opening_corner_MPa,anchor_exclusion_radius_mm,opening_corner_radius_mm,force_balance_error,dof,solve_time_s
cst,cst,0.5532569203468227,130.46337422825837,130.46337422825837,44.309908445298085,44.309908445298085,10.0,10.0,7.690102523026456e-13,6262,0.27612741700022525
q4,q4,0.5619587503603305,85.64135870013709,85.64135870013709,35.968759913112,35.968759913112,10.0,10.0,7.795668872339385e-14,6262,0.2996923330001664
