node_id,x_mm,y_mm,ux_mm,uy_mm,u_mag_mm
0,60.0,0.0,0.4151599705482689,-0.378734519103956,0.5619587503603305
1,62.0,0.0,0.4151595786807712,-0.3701569137739,0.5562136429331933
2,64.0,0.0,0.41515813062574686,-0.36158023538731443,0.550542042034403
3,66.0,0.0,0.4151560744093507,-0.35300700791718126,0.5449481752952506
4,68.0,0.0,0.41515471517980534,-0.34443899455920324,0.539436426753867
5,70.0,0.0,0.4151556047637852,-0.3358771398702373,0.5340108887037747
6,72.0,0.0,0.41516030850116614,-0.32732177790053363,0.5286753522179275
7,74.0,0.0,0.41517032589549085,-0.3187727925148692,0.5234333699258158
8,76.0,0.0,0.41518706937406535,-0.31022972817086697,0.5182883240209015
9,78.0,0.0,0.41521186526715714,-0.30169186415728744,0.5132434840865796
10,80.0,0.0,0.41524596333425967,-0.2931582639368702,0.5083020536844968
11,82.0,0.0,0.415290549379901,-0.28462780737107635,0.5034672076045534
12,84.0,0.0,0.41534675881435906,-0.27609921085181366,0.4987421220336093
13,86.0,0.0,0.41541569044710996,-0.26757103852706865,0.4941299996236852
14,88.0,0.0,0.4154984204610548,-0.2590417065822592,0.48963409108709
15,90.0,0.0,0.41559601684171393,-0.25050948169043963,0.48525771465429673
16,92.0,0.0,0.4157095547188388,-0.24197247412005718,0.48100427453019273
17,94.0,0.0,0.41584013321086405,-0.23342862548805463,0.4768772793770653
18,96.0,0.0,0.41598889449702114,-0.22487569069629582,0.47288036183689197
19,98.0,0.0,0.4161570460140708,-0.21631121313043083,0.4690173001853088
20,100.0,0.0,0.4163458869183658,-0.20773249167245614,0.4652920433988612
21,102.0,0.0,0.416556840310107,-0.19913653741009557,0.46170874124367883
22,104.0,0.0,0.41679149324234055,-0.1905200170211804,0.45827178150627046
23,106.0,0.0,0.4170516473192242,-0.18187917852673824,0.45498583726665565
24,108.0,0.0,0.4173393838640367,-0.17320975321972987,0.4518559282940232
25,110.0,0.0,0.4176571494329366,-0.1645068247252205,0.44888750244757397
26,112.0,0.0,0.4180078702464814,-0.1557646517226015,0.4460865457669202
27,114.0,0.0,0.4183951085685978,-0.14697642380391449,0.4434597343934583
28,116.0,0.0,0.4188232813780178,-0.13813391833353045,0.44101464875718666
29,118.0,0.0,0.41929797404967656,-0.12922700649859417,0.4387600827909838
30,120.0,0.0,0.41982640367121193,-0.12024292166476196,0.4367065026193009
31,122.0,0.0,0.42041812627316344,-0.11116513995461848,0.4348667488325217
32,124.0,0.0,0.4210861628012225,-0.10197159067233905,0.4332571543632081
33,126.0,0.0,0.42184886538215904,-0.09263168760919506,0.43189940353459905
34,128.0,0.0,0.422733277405626,-0.08310088379772079,0.4308238395377677
35,130.0,0.0,0.42378117637709195,-0.07331103394888382,0.43007556679054243
36,132.0,0.0,0.42506335166979337,-0.06314442587338516,0.4297279039713826
37,134.0,0.0,0.4266999398607467,-0.05239997922903051,0.42990533434742084
